max_number_agents;total number of seats;median risk density arriving;median risk density sitting;median risk density leaving ;mean risk density arriving;mean risk density sitting;mean risk density leaving
20;190;0;0;0;237,28;3626,54;101,86
40;190;0,08;0;0;408,6;9288,83;174,68
60;190;34,28;0;15,83;615,97;12507,47;284,71
80;190;86,45;0;44,84;723,79;16444,98;335,65
100;190;139,8;0;76,22;847,95;18780,09;397,6
120;190;216,87;0;126,42;1016,76;22960,89;476,6
140;190;220,9;0,6;115,61;950,36;28786,17;467,59
160;190;209,02;41,65;123,63;897,46;34281,97;468,01
180;190;70,81;145,82;36,03;663,09;33215,72;385,11
